Category,Datadog Metric Name,Prometheus Source,Type,Description,Enabled in Dashboard,Enable in DD Agent,Tags,Alert Threshold
Agent Core,cilium.endpoint.count,cilium_endpoint_state,gauge,Total managed endpoints,YES,YES,"kube_cluster_name, host",Sudden drop
Agent Core,cilium.endpoint.state,cilium_endpoint_state,gauge,Endpoints by state,YES,YES,"kube_cluster_name, endpoint_state",not-ready sustained
Agent Core,cilium.policy.count,cilium_policy,gauge,Active network policies,YES,YES,kube_cluster_name,Unexpected drop
Agent Core,cilium.policy.max_revision,cilium_policy_max_revision,gauge,Highest policy revision,YES,YES,kube_cluster_name,—
Agent Core,cilium.identity.count,cilium_identity_count,gauge,Security identities in use (limit 65535),YES,YES,kube_cluster_name,>50000 warn / >60000 crit
Agent Core,cilium.ip_addresses.count,cilium_ip_addresses,gauge,IP addresses by family,YES,YES,"kube_cluster_name, family",Near subnet exhaustion
Agent Core,cilium.unreachable.nodes,cilium_unreachable_nodes,gauge,Unreachable nodes from this agent,YES,YES,"kube_cluster_name, host",>0
Agent Core,cilium.unreachable.health_endpoints,cilium_unreachable_health_endpoints,gauge,Unreachable health endpoints,YES,YES,kube_cluster_name,>0
Agent Core,cilium.nodes.managed.total,cilium_nodes_managed_total,gauge,Managed node count,YES,YES,kube_cluster_name,Mismatch with expected
Agent Core,cilium.version,cilium_version,gauge,Cilium version info metric,YES,YES,"kube_cluster_name, version",Version mismatch across nodes
Drops & Forwarding,cilium.drop_count.count,cilium_drop_count_total,counter,Packets dropped by datapath,YES,YES,"kube_cluster_name, host, reason, direction",Drop-to-forward ratio >1%
Drops & Forwarding,cilium.forward_count.count,cilium_forward_count_total,counter,Packets forwarded,YES,YES,"kube_cluster_name, host, direction",Flatline
Drops & Forwarding,cilium.forward_bytes.count,cilium_forward_bytes_total,counter,Bytes forwarded,YES,YES,"kube_cluster_name, host, direction",Asymmetry
Policy,cilium.policy.endpoint_enforcement_status,cilium_policy_endpoint_enforcement_status,gauge,Endpoints by enforcement mode,YES,YES,"kube_cluster_name, host, policy_enforcement_status",none >10%
Policy,cilium.policy.change.count,cilium_policy_change_total,counter,Policy changes by outcome,YES,YES,"kube_cluster_name, outcome",outcome:fail >0
Policy,cilium.policy.import_errors.count,cilium_policy_import_errors_total,counter,Policy import errors,YES,YES,kube_cluster_name,Any count
Policy,cilium.policy.implementation_delay.sum,cilium_policy_implementation_delay_sum,counter,Policy delay (sum for avg),YES,YES,kube_cluster_name,Avg >5s
Policy,cilium.policy.implementation_delay.count,cilium_policy_implementation_delay_count,counter,Policy delay (count for avg),YES,YES,kube_cluster_name,—
Policy,cilium.policy.regeneration_time_stats.seconds.sum,cilium_policy_regeneration_time_stats_seconds_sum,counter,Policy regen time (sum),YES,YES,kube_cluster_name,Avg >10s
Policy,cilium.policy.regeneration_time_stats.seconds.count,cilium_policy_regeneration_time_stats_seconds_count,counter,Policy regen time (count),YES,YES,kube_cluster_name,—
Policy,cilium.policy.l7.count,cilium_policy_l7_total,counter,L7 policy verdicts total,YES,YES,kube_cluster_name,—
Policy,cilium.policy.l7_denied.count,cilium_policy_l7_denied_total,counter,L7 denials,YES,YES,kube_cluster_name,Unexpected denials
Policy,cilium.policy.l7_forwarded.count,cilium_policy_l7_forwarded_total,counter,L7 forwards,YES,YES,kube_cluster_name,—
Policy,cilium.policy.l7_parse_errors.count,cilium_policy_l7_parse_errors_total,counter,L7 parse errors,YES,YES,kube_cluster_name,>0
Policy,cilium.policy.l7_received.count,cilium_policy_l7_received_total,counter,L7 received,YES,YES,kube_cluster_name,—
Endpoints,cilium.endpoint.regenerations.count,cilium_endpoint_regenerations_total,counter,Endpoint regenerations by outcome,YES,YES,"kube_cluster_name, host, outcome",fail rate >5%
Endpoints,cilium.endpoint.regeneration_time_stats.seconds.sum,cilium_endpoint_regeneration_time_stats_seconds_sum,counter,Regen time (sum),YES,YES,kube_cluster_name,Avg increasing
Endpoints,cilium.endpoint.regeneration_time_stats.seconds.count,cilium_endpoint_regeneration_time_stats_seconds_count,counter,Regen time (count),YES,YES,kube_cluster_name,—
eBPF / BPF,cilium.bpf.map_pressure,cilium_bpf_map_pressure,gauge,BPF map fill ratio 0-1,YES,YES,"kube_cluster_name, host, map_name",>0.75 warn / >0.9 crit
eBPF / BPF,cilium.bpf.maps.virtual_memory.max.bytes,cilium_bpf_maps_virtual_memory_max_bytes,gauge,BPF map memory,YES,YES,"kube_cluster_name, host",Sustained growth
eBPF / BPF,cilium.bpf.progs.virtual_memory.max.bytes,cilium_bpf_progs_virtual_memory_max_bytes,gauge,BPF program memory,YES,YES,"kube_cluster_name, host",Sustained growth
eBPF / BPF,cilium.bpf.map_ops.count,cilium_bpf_map_ops_total,counter,BPF map ops (filter outcome:fail),YES,YES,"kube_cluster_name, outcome, map_name, operation",Any failures
Conntrack,cilium.datapath.conntrack_gc.entries,cilium_datapath_conntrack_gc_entries,gauge,Conntrack table entries,YES,YES,"kube_cluster_name, host",Near kernel limit
Conntrack,cilium.datapath.conntrack_gc.duration.seconds.sum,cilium_datapath_conntrack_gc_duration_seconds_sum,counter,GC duration (sum),YES,YES,"kube_cluster_name, host",Avg >1s
Conntrack,cilium.datapath.conntrack_gc.duration.seconds.count,cilium_datapath_conntrack_gc_duration_seconds_count,counter,GC duration (count),YES,YES,"kube_cluster_name, host",—
Controllers,cilium.controllers.failing.count,cilium_controllers_failing,gauge,Failing controllers,YES,YES,"kube_cluster_name, host",>0
Controllers,cilium.controllers.runs.count,cilium_controllers_runs_total,counter,Controller runs by status,YES,YES,"kube_cluster_name, host, status",status:failure sustained
Controllers,cilium.controllers.runs_duration.seconds.sum,cilium_controllers_runs_duration_seconds_sum,counter,Controller run duration (sum),YES,YES,kube_cluster_name,Avg >5s
Controllers,cilium.controllers.runs_duration.seconds.count,cilium_controllers_runs_duration_seconds_count,counter,Controller run duration (count),YES,YES,kube_cluster_name,—
FQDN,cilium.fqdn.active_ips,cilium_fqdn_active_ips,gauge,Active FQDN-resolved IPs,YES,YES,kube_cluster_name,Rapid growth
FQDN,cilium.fqdn.active_names,cilium_fqdn_active_names,gauge,Active FQDN names,YES,YES,kube_cluster_name,Unexpected increase
FQDN,cilium.fqdn.selectors,cilium_fqdn_selectors,gauge,FQDN selectors,YES,YES,kube_cluster_name,—
FQDN,cilium.fqdn.alive_zombie_connections,cilium_fqdn_alive_zombie_connections,gauge,Zombie connections past TTL,YES,YES,kube_cluster_name,>100
FQDN,cilium.fqdn.gc_deletions.count,cilium_fqdn_gc_deletions_total,counter,FQDN GC deletions,YES,YES,kube_cluster_name,—
API Limiter,cilium.api_limiter.requests_in_flight,cilium_api_limiter_requests_in_flight,gauge,In-flight requests,YES,YES,"kube_cluster_name, api_call",Near limit
API Limiter,cilium.api_limiter.wait_duration.seconds,cilium_api_limiter_wait_duration_seconds,gauge,Rate limiter wait,YES,YES,"kube_cluster_name, api_call",>1s sustained
API Limiter,cilium.api_limiter.processing_duration.seconds,cilium_api_limiter_processing_duration_seconds,gauge,Processing duration,YES,YES,"kube_cluster_name, api_call",Increasing
API Limiter,cilium.api_limiter.rate_limit,cilium_api_limiter_rate_limit,gauge,Current rate limit,YES,YES,"kube_cluster_name, api_call",Auto-decreasing
API Limiter,cilium.api_limiter.adjustment_factor,cilium_api_limiter_adjustment_factor,gauge,Auto-tuning factor,YES,YES,"kube_cluster_name, api_call",<0.5
API Limiter,cilium.api_limiter.processed_requests.count,cilium_api_limiter_processed_requests_total,counter,Processed requests,YES,YES,"kube_cluster_name, api_call",—
K8s Client,cilium.k8s_client.api_calls.count,cilium_k8s_client_api_calls_total,counter,K8s API calls by method,YES,YES,"kube_cluster_name, method, response_code",5xx errors
K8s Client,cilium.k8s_client.api_latency_time.seconds.sum,cilium_k8s_client_api_latency_time_seconds_sum,counter,API latency (sum),YES,YES,kube_cluster_name,Avg >1s
K8s Client,cilium.k8s_client.api_latency_time.seconds.count,cilium_k8s_client_api_latency_time_seconds_count,counter,API latency (count),YES,YES,kube_cluster_name,—
K8s Client,cilium.k8s_client.rate_limiter_duration.seconds.sum,cilium_k8s_client_rate_limiter_duration_seconds_sum,counter,Rate limiter wait (sum),YES,YES,kube_cluster_name,>0 sustained
K8s Client,cilium.k8s_client.rate_limiter_duration.seconds.count,cilium_k8s_client_rate_limiter_duration_seconds_count,counter,Rate limiter wait (count),YES,YES,kube_cluster_name,—
